商户名称,交易名称,交易时间,交易金额,交易明细,销售
星巴克人民广场店,微信收款,2025-04-28 09:15:00,3200,早高峰,张明
星巴克人民广场店,支付宝收款,2025-04-29 12:30:00,4100,午市,张明
星巴克人民广场店,微信收款,2025-05-02 09:20:00,3500,早高峰,张明
星巴克人民广场店,支付宝收款,2025-05-10 12:00:00,5200,午市,张明
星巴克人民广场店,微信收款,2025-05-18 18:00:00,4800,晚市,张明
星巴克人民广场店,支付宝收款,2025-05-25 11:00:00,4500,午市,张明
星巴克人民广场店,微信收款,2025-06-03 09:00:00,1800,早高峰,张明
星巴克人民广场店,支付宝收款,2025-06-12 12:00:00,2100,午市,张明
星巴克人民广场店,微信收款,2025-06-20 17:00:00,1500,晚市,张明
海底捞徐家汇店,微信收款,2025-05-05 19:00:00,12800,周末,张明
海底捞徐家汇店,支付宝收款,2025-05-12 19:30:00,14200,周末,张明
海底捞徐家汇店,微信收款,2025-05-20 18:00:00,11500,工作日,张明
海底捞徐家汇店,支付宝收款,2025-06-08 19:00:00,9800,周末,张明
海底捞徐家汇店,微信收款,2025-06-15 18:30:00,8600,工作日,张明
全家便利店国贸店,扫码支付,2025-05-01 08:00:00,890,日常,李芳
全家便利店国贸店,扫码支付,2025-05-08 08:10:00,920,日常,李芳
全家便利店国贸店,扫码支付,2025-05-15 07:50:00,780,日常,李芳
全家便利店国贸店,扫码支付,2025-05-22 08:00:00,850,日常,李芳
全家便利店国贸店,扫码支付,2025-06-02 08:00:00,620,日常,李芳
全家便利店国贸店,扫码支付,2025-06-09 08:05:00,580,日常,李芳
全家便利店国贸店,扫码支付,2025-06-16 07:55:00,510,日常,李芳
肯德基科技园店,微信收款,2025-05-03 12:00:00,2400,午市,李芳
肯德基科技园店,支付宝收款,2025-05-17 12:30:00,2600,午市,李芳
肯德基科技园店,微信收款,2025-06-05 12:00:00,1900,午市,李芳
肯德基科技园店,支付宝收款,2025-06-19 12:15:00,1700,午市,李芳
